PERSON_ID,WAM,,ENG4701_ID,ENG4701_MARK,,ENG4701_WAM,ENG4701_DEPT,,ENG4702_ID,ENG4702_MARK,ENG4702_WAM,ENG4702_DEPT
28738713,92.967,,28744365,83,HD,73.852,CL_CHE,,31983162,76,74.129,CL_CHE
28795628,92.306,,27766918,83,HD,84.556,CL_CHE,,30048559,76,64.083,CL_CHE
29691249,90,,30421187,76,D,61.75,CL_CHE,,28478460,76,65.771,CL_CHE
30599806,89.98,,29419913,75,D,82.737,CL_CHE,,28478681,76,65.222,CL_CHE
29725399,89.61,,30519632,76,D,78.97,CL_CHE,,31983111,78,64.161,CL_CHE
28780841,89.039,,29707366,83,HD,73.75,CL_CHE,,31979033,78,73.613,CL_CHE
29676789,89.033,,29485479,55,WH,63.6,CL_CHE,,29160995,76,63.608,CL_CHE
30592437,88.667,,29682347,72,D,71.115,CL_CHE,,27537285,67,71.622,CL_CHE
29435978,88.545,,30880262,77,D,67.025,CL_CHE,,28129288,67,59.692,CL_CHE
29678730,88.42,,29696992,79,D,70.9,CL_CHE,,31573681,83,78.088,CL_CHE
30571057,88.396,,30880262,77,D,67.025,CL_CHE,,27722597,83,70.475,CL_CHE
29726816,88.16,,28281535,77,D,64.151,CL_CHE,,29298903,62,60.3,CL_CHE
28777212,87.969,,28747267,77,D,68.273,CL_CHE,,28133641,65,57.617,CL_CHE
29733235,87.883,,27722422,81,HD,59.966,CL_CHE,,29224098,83,68.093,CL_CHE
30222605,87.875,,28321146,79,D,67.098,CL_CHE,,28758854,86,67.347,CL_CHE
29672139,87.644,,30637481,85,HD,81.167,CL_CHE,,26903822,86,73.489,CL_CHE
30609844,87.531,,28742427,75,D,72.64,CL_CHE,,29665124,75,65.357,CL_ECE
30584485,87.3,,29673089,75,D,71.067,CL_CHE,,24212784,75,55.775,CL_ECE
29674840,87.049,,30318491,75,D,75.475,CL_CHE,,30159148,75,77.8,CL_ECE
28658671,87,,31158579,75,D,69.45,CL_CHE,,29758475,74,66.717,CL_ECE
29657830,86.619,,28649117,73,D,66.489,CL_CHE,,28762002,67,79.917,CL_ECE
29725593,86.569,,28759583,0,N,55.417,CL_CHE,,29698049,76,80.321,CL_ECE
29687675,86.4,,28249011,83,HD,83.328,CL_CHE,,27765709,87,79.702,CL_ECE
29706734,86.328,,29868416,32,WH,70.053,CL_CHE,,27994740,0,58.606,CL_ECE
30615550,86.327,,29666988,83,HD,81.085,CL_CHE,,29703735,81,74.618,CL_ECE
30633443,86.327,,29680743,82,HD,85.29,CL_CHE,,28970608,71,68.377,CL_ECE
30610532,86.286,,29701651,82,HD,70.714,CL_CHE,,28895355,80,71.406,CL_ECE
30354676,86.25,,28790812,61,C,65.383,CL_CHE,,28787706,63,58.226,CL_ECE
29693969,85.95,,29718600,73,D,75.982,CL_CHE,,29709598,0,,CL_ECE
30601622,85.75,,28765613,73,D,57.596,CL_CHE,,28882571,45,57.318,CL_MEC
30618177,85.75,,29670152,78,D,80.034,CL_CHE,,28783085,62,65.597,CL_MEC
30619785,85.653,,29645611,78,D,70.018,CL_CHE,,29678447,77,70.07,CL_MEC
30636108,85.458,,29262399,70,C,64.789,CL_CHE,,28746171,80,73.523,CL_MEC
29681359,85.333,,28989694,13,N,54.194,CL_CHE,,29170613,76,73.35,CL_MEC
29680743,85.29,,29672392,82,HD,71.617,CL_CHE,,29284597,74,80.5,CL_MEC
29704111,85.194,,29708273,84,HD,71.48,CL_CHE,,28769899,77,69.135,CL_MEC
29719364,84.738,,29686083,66,WH,67.912,CL_CHE,,28747771,77,72.286,CL_MEC
29706300,84.721,,29937019,78,D,74.064,CL_CHE,,27161471,45,59.642,CL_MEC
28939220,84.688,,28780841,84,HD,89.039,CL_CHE,,27561992,45,64.479,CL_MEC
27766918,84.556,,28770668,84,HD,71.246,CL_CHE,,30876621,80,79.563,CL_MEC
29687551,84.458,,29001811,77,D,77.774,CL_CHE,,30880335,80,83.75,CL_MEC
29679281,84.326,,29729378,77,D,75.87,CL_CHE,,27800466,68,74.235,CL_MEC
30646162,84.313,,30058805,76,D,75.34,CL_CHE,,28756908,68,64.557,CL_MEC
29686121,84.295,,27145069,29,N,50.089,CL_CHE,,27820262,78,65.586,CL_MEC
30619572,84.275,,29712637,77,WH,72.078,CL_CHE,,29716225,78,68.369,CL_MEC
29709601,84.27,,29670063,77,WH,67.643,CL_CHE,,29678064,68,83.143,CL_MEC
31932053,84.216,,29490278,83,HD,64.941,CL_CHE,,28756185,76,75.529,CL_MEC
28779363,84.016,,28748794,78,D,72.719,CL_CHE,,29697859,63,66.41,CL_MEC
30581192,83.913,,30630959,78,D,75.283,CL_CHE,,27347877,0,61.585,CL_MEC
29693462,83.833,,29629144,83,HD,70.833,CL_CHE,,29137268,73,67.098,CL_MEC
30629543,83.776,,28921933,83,HD,81.85,CL_CHE,,29788617,61,63.438,CL_MEC
28824520,83.722,,29435978,84,HD,88.545,CL_CHE,,28772016,96,91.35,CL_MEC
28796721,83.677,,29616867,75,D,65.043,CL_CIV,,29170656,62,68.333,CL_MEC
29724910,83.567,,29711207,80,HD,72.203,CL_CIV,,29725062,75,76.288,CL_MEC
29729076,83.443,,29685656,75,WH,73.769,CL_CIV,,27804852,77,66.391,CL_MEC
30508282,83.383,,30580056,77,D,75.563,CL_CIV,,28816757,74,67.646,CL_MEC
30551757,83.367,,29747171,74,D,63.26,CL_CIV,,28419847,0,72.173,CL_MEC
28249011,83.328,,29616352,76,D,74.406,CL_CIV,,29707749,78,74.698,CL_MEC
28797221,83.324,,29721814,73,D,70.453,CL_CIV,,29747147,66,70.049,CL_MEC
29618118,83.194,,30615135,78,D,80.978,CL_CIV,,31334334,60,62.625,CL_MEC
28786459,83.073,,28777700,32,WH,72.881,CL_CIV,,28789164,77,67.87,CL_MEC
30572770,83,,30578949,84,HD,80.421,CL_CIV,,29700515,80,77.596,CL_MEC
29713854,82.981,,29659000,76,D,69.05,CL_CIV,,28782941,80,73.645,CL_MEC
30602955,82.936,,30581192,82,HD,83.913,CL_CIV,,26919427,0,65.831,CL_MEC
30312779,82.917,,29662346,77,D,78.5,CL_CIV,,28331591,61,61.32,CL_MEC
29689104,82.847,,29618118,78,D,83.194,CL_CIV,,28339908,0,63.262,CL_MEC
30572053,82.837,,29707234,31,WH,67.293,CL_CIV,,28690303,62,65.923,CL_MEC
28789563,82.814,,29665337,82,HD,78.979,CL_CIV,,31977227,66,70.563,CL_MEC
29419913,82.737,,30604141,78,WH,71.923,CL_CIV,,31977804,68,66.813,CL_MEC
27793079,82.523,,29708591,78,WH,81.966,CL_CIV,,29609232,60,70.455,CL_MEC
29676479,82.431,,30599938,31,WH,74.757,CL_CIV,,26953633,75,72.613,CL_MEC
29693977,82.404,,29710472,68,C,66.51,CL_CIV,,27883183,77,80.509,CL_MEC
29708591,81.966,,28321383,71,D,72.636,CL_CIV,,29625491,67,64.444,CL_MEC
28921933,81.85,,29159962,81,HD,69.615,CL_CIV,,29769655,67,66.333,CL_MEC
29726468,81.81,,28388747,78,D,65.304,CL_CIV,,28723872,80,72.724,CL_MEC
30593638,81.762,,30312779,82,HD,82.917,CL_CIV,,27818845,0,60.139,CL_MEC
30614104,81.761,,29397510,63,C,59.136,CL_CIV,,29295726,81,88.759,CL_MEC
30591678,81.702,,28672674,67,WH,68.939,CL_CIV,,29720834,78,72.509,CL_MEC
29657512,81.611,,28891716,56,P,72.411,CL_CIV,,29607507,82,71.98,CL_MEC
29702011,81.475,,29659876,83,HD,65.151,CL_CIV,,28895401,67,75.944,CL_MEC
29712084,81.433,,29602858,84,HD,79.833,CL_CIV,,27837408,60,79.087,CL_MEC
29616395,81.389,,30508819,82,HD,76.458,CL_CIV,,27793583,81,84.774,CL_MEC
30621194,81.362,,29684846,84,HD,78.679,CL_CIV,,28800753,0,82.045,CL_MEC
29680220,81.246,,29674212,67,C,78.822,CL_CIV,,29628407,65,65.724,CL_MEC
30637481,81.167,,29474329,70,C,74.711,CL_CIV,,29042089,0,,CL_MEC
30645611,81.146,,29688337,76,D,67.143,CL_CIV,,28741552,72,66.986,CL_MEC
30629179,81.102,,30508282,80,HD,83.383,CL_CIV,,31977340,80,78.938,CL_MEC
29666988,81.085,,27810518,75,D,58.096,CL_CIV,,29388724,72,61,CL_MEC
28798767,81.055,,29687691,67,C,73.396,CL_CIV,,27818152,51,54.583,CL_MEC
30629004,81.05,,30352746,70,C,65.681,CL_CIV,,26545551,30,52.559,CL_MEC
30615135,80.978,,29673917,85,HD,79.759,CL_CIV,,30657962,81,76.622,CL_MEC
29686350,80.881,,29981972,80,HD,74.079,CL_CIV,,29927218,83,73.981,CL_MEC
29849438,80.857,,28783204,78,D,56.537,CL_CIV,,28791916,58,74.176,CL_MEC
29687985,80.806,,30566959,78,D,74.417,CL_CIV,,27795551,66,70.824,CL_MEC
29710278,80.806,,29923433,80,D,73.385,CL_CIV,,28747844,62,66.603,CL_MEC
28795695,80.77,,29680115,74,D,70.982,CL_CIV,,28770706,70,65.177,CL_MEC
30587484,80.755,,30615038,86,WH,76.457,CL_CIV,,25940317,76,58.092,CL_MEC
30644372,80.742,,29402638,76,D,76.308,CL_CIV,,29701120,89,90.821,CL_MEC
29708648,80.738,,28316932,74,D,58.875,CL_CIV,,26887231,73,79.296,CL_MEC
28792017,80.645,,29684781,81,HD,66.313,CL_CIV,,29917948,58,69.614,CL_MEC
