ENG4701 Proposal Mark,ENG4701 Panel 1 Mark,ENG4701 Panel 2 Mark,ENG4701 Final Mark,ENG4701 WAM,ENG4702 Total 1,ENG4702 Total 2,ENG4702 Final Video,ENG4702 Final Poster,ENG4702 Final Report,ENG4702 FINAL MARK,ENG4702 WAM
67.28,78.6,75.3,73,84.721,60,62,45,45,45,45,57.318
71.33,80.5,73.2,75,74.186,60,62,62,62,62,62,65.597
78.65,0,0,31,64.362,78.2,76.5,73.45,80,77.5,77,70.07
88,80.5,85.6,85,81.246,87.3,71.8,80,80,80,80,73.645
87,83.1,74.1,82,80.163,76.3,75.6,72.55,74.4,76.5,76,73.35
87,83.1,74.1,82,80.075,73.2,74.6,76.6,70.2,74,74,80.5
88.6,78.5,85.5,85,76.328,83.8,76.5,79.4,80,80.3,80,73.523
88.6,78.5,85.5,85,73.896,74.1,80.5,72.15,74.5,78.3,77,80.509
88.6,78.5,85.5,85,77.094,47,49.5,45,45,45,45,59.642
89,81.9,81.8,85,78.836,47,49.5,45,45,45,45,64.479
80.65,61.3,67.5,71,72.051,81.6,77.8,82.75,80.2,79.2,80,79.563
89.2,83.4,88.1,87,88.667,81.6,77.8,82.75,80.2,79.2,80,83.75
83.8,77.8,85.3,82,76.868,68.6,68.1,70,66.2,68.4,68,74.235
91,79.4,81,85,88.42,68.6,68.1,70,66.2,68.4,68,64.557
53.28,62.5,71.7,62,63.886,77.5,78.7,77.25,71.8,79,78,65.586
78.1,80.5,79.9,80,80.63,77.5,78.7,77.25,71.8,79,78,68.369
67.95,75,76.2,73,79.513,63.3,72.2,65.35,61.8,68.8,68,83.143
64.8,77.9,83.5,74,80.742,72.8,79.1,77,73,76.2,76,75.529
69,67.8,69.7,68,60.304,67.2,58.2,64.4,63.8,62.3,63,66.41
69,67.8,69.7,68,64.739,,,0,0,0,0,61.585
79.6,77.1,78.7,78,78.174,65.8,80.1,73,73,73,73,67.098
83.8,82.7,78.4,82,80.755,88.6,60.1,61,61,61,61,63.438
73,71.3,65.4,70,73.517,95.1,96.6,86.6,83.9,98.5,96,91.35
83.8,79.4,78.9,81,76.317,59.9,63.5,62.65,61.3,61.7,62,68.333
84.8,84.6,63.5,76,76.933,72.3,77.2,80.35,71.1,74.5,75,76.288
83,67.5,85.4,75,68.551,70.9,80.8,76.8,63.6,77.3,76,58.092
81.3,70.7,73.7,76,68.959,73.4,89.5,74,74,74,74,67.646
80.2,72.1,84.1,76,74.225,,85.5,0,0,0,0,72.173
88.4,79.2,83.5,84,76.855,74.3,79.9,78.3,80.4,76.5,77,69.135
86.8,79.4,72.1,80,80.545,65.4,77.6,66,66,66,66,70.049
82.1,77.5,71.2,77,74.551,61.9,57.5,61.1,60.8,59.4,60,62.625
74.9,81.4,78.8,78,71.587,79.6,75,73.85,78.2,77.6,77,67.87
55.7,77.3,70,66,69.068,74.3,79.9,78.3,80.4,76.5,77,72.286
73.8,78.6,74,75,62.213,73.2,86.8,80,80,80,80,78.938
82.2,79.3,82.4,81,92.306,,83,0,0,0,0,65.831
83.2,79.4,77.9,80,88.16,88.6,60.1,61,61,61,61,61.32
73,72.9,64.4,70,74.724,69.2,,0,0,0,0,63.262
81.1,79.2,78.8,80,78.491,74.1,61.2,62,62,62,62,65.923
80.1,75.3,79.9,78,67.196,76.4,65.4,66,66,66,66,70.563
83.2,79.1,85.3,83,84.326,68.6,69.2,68.05,67.8,69.1,68,66.813
69.55,81.2,76.8,75,69.431,70.7,59,60,60,60,60,70.455
67.1,40.2,72.9,57,62.431,79.4,69.7,72.7,71.1,75.2,75,72.613
