WAM,PROG+PROP
67.098,68.5
63.438,78
61.32,78
63.262,80
65.923,82.5
70.563,67.5
66.813,67.5
70.455,70
72.613,80
69.614,67.5
80.509,77.5
70.07,79
73.523,77
73.35,77.5
80.5,85.5
91.35,100
69.135,69.5
67.326,67.5
72.286,69.5
64.444,76.5
66.333,76.5
72.724,70
60.139,0
68.333,67.5
88.759,95
76.288,65
72.509,77.5
66.391,77.5
71.98,81.5
75.944,73.5
79.087,70
84.774,82.5
82.045,85
65.724,45
,
46.058,50
,
73.75,82.5
66.986,75
78.938,82.5
61,66
54.583,51
52.559,30
67.646,72
72.173,68.5
74.698,64.5
76.622,78.5
70.049,65.5
59.642,57.5
64.479,57.5
,
73.981,87.5
79.563,90
83.75,90
