Student ID,FINAL MARK FOR UNIT,WAM
28457277,54,61.963
28757831,82,74.537
29731062,78,68.607
29704936,80,72.31
28803655,74,75.116
29024323,70,69.315
29050073,65,70.536
28741544,60,77.172
29018196,74,63.469
28759990,80,70.262
28807421,82,76.177
29196779,80,66.717
28808444,64,83.239
29342538,68,72.873
28866959,33,
27788245,90,79.809
28756126,73,80.019
29707765,80,80.275
27839346,83,69.89
27802221,88,88.791
27848345,81,78.824
27845362,82,84.191
28786971,81,78
27723313,81,65
26110032,88,81.775
28894510,83,74.673
28810805,69,73.806
28740483,72,73.175
29658845,91,80.052
28743849,78,78.476
29707897,73,75.544
28760743,81,76.515
26879492,77,79.318
29695775,75,77.926
27552241,79,80.754
29662028,80,80.544
28763629,75,80.293
28754336,77,82.971
28761979,80,88.457
27834220,79,63.779
27795985,69,63.522
26912295,72,58.205
28810163,82,80.319
28797809,86,86.515
28760522,82,72.197
27793206,77,65.592
27840743,77,69.188
28759028,95,87.062
28791673,77,73.543
27816257,64,76.459
28670698,78,73.766
28423291,76,75.684
27867994,66,71.66
27829472,68,69.7
26921065,72,73.351
29006015,76,75.857
28306678,54,67.605
28741870,77,74.619
28750888,90,81.737
28779215,0,#N/A
28761995,92,87.354
29754100,81,65.188
27819663,90,81.467
26886014,78,69.082
29692180,75,72.036
26812215,71,58.738
28563727,63,60.75
28036263,76,72
28776674,80,75.691
27853837,82,66.573
29739926,82,66.982
28807197,75,78.529
25109804,58,61.476
29014298,73,70.271
28580052,83,75.235
29680417,82,81.464
27813525,77,64.208
27793389,88,80.812
29646197,88,85.161
28774868,79,73.48
28804619,90,93.348
26946114,82,65.025
27800059,80,74.925
27852830,77,68.819
28665708,76,71.5
27765822,81,85.333
28882717,76,66.104
28799542,77,67.302
28790006,68,67.444
27821382,77,67.348
27851583,75,68.388
29153581,74,72.255
29152836,77,70.5
27799948,86,65.205
28773322,68,73.277
26906228,67,69.155
27825299,,
28826221,74,64.899
30880084,73,76.677
27839257,75,80.127
26005336,52,57.846
28837592,83,61
28785819,80,75.552
28747844,,
28766393,72,69.366
28779797,83,74.87
27823318,83,72.375
31334334,,
27795551,,
25185799,,
28954882,60,57.846
28509188,75,71.4
25967797,80,62.961
28123832,,
29684161,83,75.089
27792587,90,75.08
29491592,52,61.625
29153514,62,67.81
29152615,71,69.1
29153484,66,69.25
28742168,75,71.912
27840484,73,69.542
27789780,79,69.11
29700876,27,
28743792,81,80.239
27848639,83,72.958
27120201,80,67.545
28114124,79,62.879
28814193,85,81.529
29710715,80,70.982
29449901,76,70.652
29297052,76,68.565
30086213,79,68.745
28784022,81,87.956
28782437,81,78.721
28794397,79,81.647
28489039,80,67
29616484,78,76.63
29615925,77,74.327
28820592,84,76.667
28807812,85,75.221
28304160,79,53.469
29739276,81,76.807
27849880,86,82.768
26460068,75,60.792
27997723,90,84.478
28813596,66,64.851
27852520,62,62.286
27829626,80,63.183
27875180,78,60.722
28758005,,
26925877,79,73.396
28791916,,
27799530,80,64.667
27842509,81,75.552
26895781,79,73.528
29749670,73,69.66
28770706,0,0
27809986,77,86.414
28803485,79,74.517
27789144,79,72.87
28799631,86,86.338
27815714,85,80.484
28798562,76,70.962
27817873,36,74.772
26891832,71,72.197
25907077,74,74.27
29195624,80,69.323
26026856,25,
27787818,81,69.167
27823202,90,74.299
27795152,68,64.74
27800466,,
28756908,,
28540107,69,69.463
29746183,67,73.036
26294494,67,57.722
26903512,76,66.206
25988018,,
28739728,78,81.057
25959220,,
28744586,85,78.319
26966662,79,59.972
27872351,81,65.703
28794389,81,63.579
28753984,,
28797167,89,79.537
27810232,81,77.194
27788903,75,66.195
27800954,82,79.898
26934957,88,59.141
28788451,77,73.738
27033996,73,63.243
28789245,81,63.532
29742757,91,68.62
29001854,82,73.636
28398955,94,80.148
26952114,87,67.176
29685133,82,79.327
27724018,82,64.354
27800644,87,73.58
27055191,82,67.875
27823393,83,63.946
28754999,82,69.194
30873975,84,82.774
30865972,89,85.129
27814726,84,74.667
30876222,67,65.833
27725650,83,58.172
27047288,86,70.957
27821536,96,87.844
27716562,78,59.175
28740386,92,82.148
26892464,87,77.897
26926377,84,81.97
29745543,82,65.533
27795829,84,77.471
27480925,75,58.81
26908646,83,74.015
26960591,81,71.687
25114433,68,75.522
29663903,75,71.4
28781341,89,83.217
27794490,80,64.436
27806545,94,91.5
27767086,67,75.353
27802655,80,87.647
29742358,77,77.946
28747917,65,66.103
27830179,83,87.061
29659191,68,67.75
